input_type,input_setting,avg_n,p_delete,pivot_new,lp_new,normalized_cost_ratio,complete_bad_triangle_density,new_bad_triangle_density,median_runtime
clique,3-2-5,10.0,0.4,2.261,0.9962962962962963,0.8008418709835372,0.1175,0.025166666666666667,0.0263985395431518
clique,3-3-4,10.0,0.4,1.9294186046511628,0.9922480620155039,0.7391765041214677,0.11416666666666667,0.025666666666666667,0.026577353477478
clique,5-5,10.0,0.4,2.801851851851852,0.987962962962963,0.8977044205296906,0.1525,0.034,0.029639482498168897
clique,5-5-3-2,15.0,0.4,2.15322417027417,0.9892845117845118,0.8598485835050111,0.09824175824175825,0.022461538461538463,0.09259104728698725
clique,5-5-5,15.0,0.4,2.3033063492063492,0.9992857142857143,0.9111837540462071,0.11604395604395604,0.026945054945054947,0.0932610034942627
clique,8-7,15.0,0.4,3.177209423909424,1.0,0.9585791661112667,0.17107692307692307,0.038065934065934066,0.09601008892059325
clique,10-10,20.0,0.4,3.1973934358125535,1.0,0.9949189210551325,0.16907017543859648,0.036263157894736844,0.2575634717941284
clique,5-5-5-5,20.0,0.4,1.9890881174381176,0.9898967143967144,0.8917931451111578,0.09771929824561404,0.02026315789473684,0.25308406352996826
clique,7-7-6,20.0,0.4,2.402117524142524,0.9977948717948718,0.929297752810003,0.12285964912280703,0.025157894736842105,0.2538849115371704
clique,10-10-5,25.0,0.4,2.5029601473342318,0.9981801346801347,0.9692024453226306,0.13720000000000002,0.028921739130434783,0.5717165470123291
clique,12-7-6,25.0,0.4,2.5846686785403166,0.9995,0.9649697367981278,0.13806086956521738,0.030017391304347826,0.5728505849838257
clique,13-12,25.0,0.4,3.199388802073399,1.0,0.9878194059693777,0.17495652173913043,0.03766086956521739,0.5678045749664307
clique,9-8-8,25.0,0.4,2.366020974037628,1.0,0.9741527518853011,0.12795652173913044,0.027930434782608694,0.5730165243148804
clique,10-10-10,30.0,0.4,2.5524824407123456,1.0,0.9712153800014381,0.1331576354679803,0.028177339901477833,1.0970369577407837
clique,15-10-5,30.0,0.4,2.8048348217744383,0.9995652173913043,0.983128909601114,0.14493103448275862,0.03141379310344828,1.0799479484558105
clique,15-15,30.0,0.4,3.3246023056964726,1.0,0.9950913736691674,0.17567980295566504,0.03810837438423645,1.055763602256775
clique,20-5-5,30.0,0.4,3.3937106185729977,0.9992426367461431,0.9692286907844676,0.167807881773399,0.0357487684729064,1.0528450012207031
clique,10-10-10-10-10-10-10-10-10-10,100.0,0.4,1.6344333784950587,0.8657070482580101,0.9970910754188859,0.06318408575551433,0.013673469387755103,126.203852891922
clique,25-25-25-25,100.0,0.4,2.435554874431995,1.0,1.0020107055432086,0.1151861471861472,0.02482374768089054,78.52247595787048
clique,60-25-10-5,100.0,0.4,3.3796565283512714,1.0,0.9984601445478875,0.1575959595959596,0.0343162234590806,82.2476270198822
facebook,ego=3980.0,58.0,0.4,1.6297297297297295,0.9864864864864896,0.8278984771573604,0.019963702359346643,0.003694581280788177,6.51894998550415
facebook,ego=698.0,64.0,0.4,1.9226415094339624,0.9905660377358492,0.9133712878904446,0.024937596006144393,0.005856374807987712,15.914793014526367
facebook,ego=414.0,155.0,0.4,1.764516129032258,0.943010752688172,0.9652524594064449,0.028702859442897393,0.006359611293197631,514.0343158245087
facebook,ego=686.0,170.0,0.4,,,,0.035696882303217145,0.008801153597533688,236.18790221214297
random,p+=0.200,17.5,0.4,,,0.0,0.0942872228961671,0.0,0.1789469718933105
random,p+=0.300,17.5,0.4,,,0.0,0.18333070084391004,0.0,0.20749390125274655
random,p+=0.400,17.5,0.4,,,0.0,0.27674444608233767,0.0,0.2519659996032715
random,p+=0.500,17.5,0.4,1.472848749266148,0.9510121449284666,0.1879493520997138,0.36713587030467804,0.01219884317047183,0.3059734106063843
random,p+=0.600,17.5,0.4,1.4842523871494469,0.91549553252819,0.45933292359411554,0.43274157712448963,0.04519108256744964,0.27828145027160645
random,p+=0.700,17.5,0.4,1.5166508339046971,0.9334621740388033,0.8267988296297977,0.4488043602307194,0.0819687599953638,0.22000896930694575
random,p+=0.800,17.5,0.4,1.7273803056280874,0.9912890570293045,1.3073538147413184,0.3867416966521559,0.09518220124562743,0.20038974285125732
